Problem Names,-2,-1,False,True,acc
introductory/4025/expert.txt,1,0,0,0,0.00
introductory/4025/question.txt,1,0,0,0,0.00
interview/0990/expert.txt,0,1,0,0,0.00
interview/0990/question.txt,0,1,0,0,0.00
competition/2296/expert.txt,0,0,2,1,33.33
competition/2296/question.txt,0,0,2,1,33.33
interview/1502/expert.txt,0,0,0,1,100.00
interview/1502/question.txt,0,0,0,1,100.00
introductory/4159/expert.txt,1,0,0,0,0.00
introductory/4159/question.txt,1,0,0,0,0.00
competition/2032/expert.txt,0,17,0,0,0.00
competition/2032/question.txt,0,17,0,0,0.00
competition/2057/expert.txt,0,8,4,3,20.00
competition/2057/question.txt,0,0,14,1,6.67
competition/2063/expert.txt,0,0,12,2,14.29
competition/2063/question.txt,1,0,0,0,0.00
interview/1538/expert.txt,0,0,0,1,100.00
interview/1538/question.txt,0,0,0,1,100.00
introductory/2399/expert.txt,1,0,0,0,0.00
introductory/2399/question.txt,0,1,0,0,0.00
interview/1540/expert.txt,0,0,0,1,100.00
interview/1540/question.txt,0,0,1,0,0.00
competition/2198/expert.txt,0,0,6,1,14.29
competition/2198/question.txt,0,0,7,0,0.00
introductory/4020/expert.txt,1,0,0,0,0.00
introductory/4020/question.txt,1,0,0,0,0.00
introductory/3030/expert.txt,1,0,0,0,0.00
introductory/3030/question.txt,1,0,0,0,0.00
competition/2041/expert.txt,0,16,0,0,0.00
competition/2041/question.txt,0,0,14,2,12.50
competition/2276/expert.txt,0,0,2,1,33.33
competition/2276/question.txt,0,0,3,0,0.00
interview/1087/expert.txt,0,0,0,1,100.00
interview/1087/question.txt,0,0,0,1,100.00
interview/1345/expert.txt,0,1,0,0,0.00
interview/1345/question.txt,0,0,1,0,0.00
introductory/3008/expert.txt,1,0,0,0,0.00
introductory/3008/question.txt,1,0,0,0,0.00
competition/2200/expert.txt,0,0,0,7,100.00
competition/2200/question.txt,0,0,0,7,100.00
interview/1403/expert.txt,1,0,0,0,0.00
interview/1403/question.txt,0,0,1,0,0.00
