Problem Names,-2,-1,False,True,acc
introductory/4071/summary.txt,1,0,0,0,0.00
introductory/4071/question.txt,1,0,0,0,0.00
competition/2236/summary.txt,0,0,5,0,0.00
competition/2236/question.txt,0,0,5,0,0.00
competition/2021/summary.txt,0,0,18,0,0.00
competition/2021/question.txt,0,0,18,0,0.00
competition/2011/summary.txt,0,4,12,2,11.11
competition/2011/question.txt,0,4,9,5,27.78
introductory/2368/summary.txt,0,0,1,0,0.00
introductory/2368/question.txt,0,1,0,0,0.00
introductory/4078/summary.txt,1,0,0,0,0.00
introductory/4078/question.txt,1,0,0,0,0.00
introductory/4015/summary.txt,1,0,0,0,0.00
introductory/4015/question.txt,1,0,0,0,0.00
interview/0003/summary.txt,0,0,1,0,0.00
interview/0003/question.txt,0,0,1,0,0.00
interview/1369/summary.txt,0,0,1,0,0.00
interview/1369/question.txt,0,0,0,1,100.00
introductory/4076/summary.txt,1,0,0,0,0.00
introductory/4076/question.txt,1,0,0,0,0.00
interview/0036/summary.txt,0,0,0,1,100.00
interview/0036/question.txt,0,0,0,1,100.00
competition/2013/summary.txt,0,0,18,0,0.00
competition/2013/question.txt,0,0,18,0,0.00
competition/2091/summary.txt,0,0,10,2,16.67
competition/2091/question.txt,0,0,11,1,8.33
competition/2262/summary.txt,0,0,2,2,50.00
competition/2262/question.txt,1,0,0,0,0.00
introductory/4153/summary.txt,1,0,0,0,0.00
introductory/4153/question.txt,1,0,0,0,0.00
introductory/4008/summary.txt,1,0,0,0,0.00
introductory/4008/question.txt,1,0,0,0,0.00
introductory/4098/summary.txt,1,0,0,0,0.00
introductory/4098/question.txt,1,0,0,0,0.00
interview/0098/summary.txt,0,0,1,0,0.00
interview/0098/question.txt,0,0,1,0,0.00
competition/2311/summary.txt,0,0,2,0,0.00
competition/2311/question.txt,0,0,2,0,0.00
introductory/4010/summary.txt,1,0,0,0,0.00
introductory/4010/question.txt,1,0,0,0,0.00
competition/2073/summary.txt,0,0,11,3,21.43
competition/2073/question.txt,0,0,4,10,71.43
introductory/3032/summary.txt,0,0,0,0,
introductory/3032/question.txt,1,0,0,0,0.00
competition/2270/summary.txt,0,0,4,0,0.00
competition/2270/question.txt,0,0,4,0,0.00
competition/2251/summary.txt,0,3,1,0,0.00
competition/2251/question.txt,0,0,3,1,25.00
interview/1491/summary.txt,0,0,1,0,0.00
interview/1491/question.txt,0,0,1,0,0.00
competition/2077/summary.txt,0,0,11,2,15.38
competition/2077/question.txt,0,0,9,4,30.77
competition/2209/summary.txt,0,0,5,2,28.57
competition/2209/question.txt,0,0,6,1,14.29
introductory/3006/summary.txt,1,0,0,0,0.00
introductory/3006/question.txt,1,0,0,0,0.00
competition/2115/summary.txt,0,0,5,6,54.55
competition/2115/question.txt,0,0,5,6,54.55
introductory/4171/summary.txt,1,0,0,0,0.00
introductory/4171/question.txt,1,0,0,0,0.00
introductory/4165/summary.txt,1,0,0,0,0.00
introductory/4165/question.txt,1,0,0,0,0.00
introductory/3033/summary.txt,1,0,0,0,0.00
introductory/3033/question.txt,1,0,0,0,0.00
competition/2272/summary.txt,0,0,3,1,25.00
competition/2272/question.txt,0,0,0,4,100.00
introductory/4069/summary.txt,1,0,0,0,0.00
introductory/4069/question.txt,1,0,0,0,0.00
introductory/2363/summary.txt,0,0,1,0,0.00
introductory/2363/question.txt,0,0,1,0,0.00
competition/2212/summary.txt,0,0,2,4,66.67
competition/2212/question.txt,0,0,1,5,83.33
competition/2196/summary.txt,0,0,6,1,14.29
competition/2196/question.txt,0,0,6,1,14.29
competition/2258/summary.txt,0,0,3,1,25.00
competition/2258/question.txt,0,0,3,1,25.00
competition/2306/summary.txt,0,3,0,0,0.00
competition/2306/question.txt,0,3,0,0,0.00
introductory/3018/summary.txt,1,0,0,0,0.00
introductory/3018/question.txt,1,0,0,0,0.00
competition/2174/summary.txt,0,0,7,2,22.22
competition/2174/question.txt,0,0,2,7,77.78
interview/0342/summary.txt,1,0,0,0,0.00
interview/0342/question.txt,1,0,0,0,0.00
introductory/4122/summary.txt,1,0,0,0,0.00
introductory/4122/question.txt,1,0,0,0,0.00
introductory/3017/summary.txt,1,0,0,0,0.00
introductory/3017/question.txt,1,0,0,0,0.00
introductory/4030/summary.txt,1,0,0,0,0.00
introductory/4030/question.txt,1,0,0,0,0.00
competition/2151/summary.txt,0,0,2,8,80.00
competition/2151/question.txt,0,0,2,8,80.00
introductory/3940/summary.txt,1,0,0,0,0.00
introductory/3940/question.txt,1,0,0,0,0.00
introductory/4115/summary.txt,1,0,0,0,0.00
introductory/4115/question.txt,1,0,0,0,0.00
interview/0014/summary.txt,0,0,0,1,100.00
interview/0014/question.txt,0,0,1,0,0.00
interview/1952/summary.txt,0,0,0,0,
interview/1952/question.txt,0,0,0,0,
interview/1377/summary.txt,0,0,1,0,0.00
interview/1377/question.txt,1,0,0,0,0.00
interview/1059/summary.txt,0,0,0,1,100.00
interview/1059/question.txt,0,0,0,1,100.00
introductory/4035/summary.txt,1,0,0,0,0.00
introductory/4035/question.txt,1,0,0,0,0.00
interview/1344/summary.txt,0,0,0,1,100.00
interview/1344/question.txt,0,0,0,1,100.00
introductory/4041/summary.txt,1,0,0,0,0.00
introductory/4041/question.txt,1,0,0,0,0.00
interview/1357/summary.txt,0,0,1,0,0.00
interview/1357/question.txt,0,0,1,0,0.00
interview/1147/summary.txt,1,0,0,0,0.00
interview/1147/question.txt,0,0,1,0,0.00
introductory/4013/summary.txt,1,0,0,0,0.00
introductory/4013/question.txt,1,0,0,0,0.00
introductory/4057/summary.txt,1,0,0,0,0.00
introductory/4057/question.txt,1,0,0,0,0.00
interview/0012/summary.txt,1,0,0,0,0.00
interview/0012/question.txt,1,0,0,0,0.00
competition/2074/summary.txt,0,0,12,1,7.69
competition/2074/question.txt,0,0,12,1,7.69
interview/1403/summary.txt,0,0,0,1,100.00
interview/1403/question.txt,0,1,0,0,0.00
competition/2314/summary.txt,0,0,2,0,0.00
competition/2314/question.txt,0,0,2,0,0.00
interview/0123/summary.txt,1,0,0,0,0.00
interview/0123/question.txt,0,0,0,0,
introductory/2392/summary.txt,0,1,0,0,0.00
introductory/2392/question.txt,0,1,0,0,0.00
introductory/2434/summary.txt,1,0,0,0,0.00
introductory/2434/question.txt,1,0,0,0,0.00
introductory/2361/summary.txt,0,1,0,0,0.00
introductory/2361/question.txt,0,1,0,0,0.00
introductory/4096/summary.txt,1,0,0,0,0.00
introductory/4096/question.txt,1,0,0,0,0.00
competition/2056/summary.txt,0,0,6,9,60.00
competition/2056/question.txt,0,0,5,10,66.67
introductory/4019/summary.txt,1,0,0,0,0.00
introductory/4019/question.txt,1,0,0,0,0.00
interview/0000/summary.txt,0,0,1,0,0.00
interview/0000/question.txt,0,0,1,0,0.00
competition/2248/summary.txt,0,1,3,0,0.00
competition/2248/question.txt,0,0,4,0,0.00
interview/1236/summary.txt,0,0,0,1,100.00
interview/1236/question.txt,0,0,0,1,100.00
interview/1053/summary.txt,0,0,1,0,0.00
interview/1053/question.txt,0,0,1,0,0.00
interview/1063/summary.txt,0,0,0,1,100.00
interview/1063/question.txt,0,0,0,1,100.00
competition/2061/summary.txt,1,0,0,0,0.00
competition/2061/question.txt,1,0,0,0,0.00
interview/1861/summary.txt,0,0,0,0,
interview/1861/question.txt,0,0,0,0,
interview/1392/summary.txt,0,0,0,1,100.00
interview/1392/question.txt,0,0,1,0,0.00
competition/2149/summary.txt,0,0,10,0,0.00
competition/2149/question.txt,0,0,10,0,0.00
interview/0702/summary.txt,1,0,0,0,0.00
interview/0702/question.txt,0,0,1,0,0.00
interview/0027/summary.txt,0,0,1,0,0.00
interview/0027/question.txt,0,0,1,0,0.00
competition/2040/summary.txt,0,0,16,0,0.00
competition/2040/question.txt,0,0,16,0,0.00
interview/1871/summary.txt,0,0,0,0,
interview/1871/question.txt,0,0,0,0,
interview/1474/summary.txt,0,0,1,0,0.00
interview/1474/question.txt,0,0,1,0,0.00
interview/1578/summary.txt,0,0,0,1,100.00
interview/1578/question.txt,0,0,0,1,100.00
introductory/4094/summary.txt,1,0,0,0,0.00
introductory/4094/question.txt,1,0,0,0,0.00
introductory/4136/summary.txt,1,0,0,0,0.00
introductory/4136/question.txt,1,0,0,0,0.00
interview/1950/summary.txt,0,0,0,0,
interview/1950/question.txt,0,0,0,0,
introductory/2607/summary.txt,0,1,0,0,0.00
introductory/2607/question.txt,0,1,0,0,0.00
competition/2330/summary.txt,0,0,3,0,0.00
competition/2330/question.txt,0,0,3,0,0.00
interview/1049/summary.txt,1,0,0,0,0.00
