Problem Names,-2,-1,False,True,acc
competition/2073/expert.txt,0,0,12,2,14.29
competition/2073/question.txt,0,0,4,10,71.43
interview/1401/expert.txt,0,0,0,1,100.00
interview/1401/question.txt,0,0,0,1,100.00
interview/1462/expert.txt,0,0,0,1,100.00
interview/1462/question.txt,0,0,0,1,100.00
interview/1312/expert.txt,0,0,1,0,0.00
interview/1312/question.txt,0,0,1,0,0.00
interview/1411/expert.txt,0,0,1,0,0.00
interview/1411/question.txt,1,0,0,0,0.00
competition/2360/expert.txt,0,0,0,0,
competition/2360/question.txt,0,0,0,0,
competition/2053/expert.txt,0,0,13,2,13.33
competition/2053/question.txt,0,0,12,3,20.00
competition/2197/expert.txt,0,0,7,0,0.00
competition/2197/question.txt,0,0,7,0,0.00
competition/2187/expert.txt,0,0,7,1,12.50
competition/2187/question.txt,0,0,7,1,12.50
interview/1922/expert.txt,0,0,0,0,
interview/1922/question.txt,0,0,0,0,
